,Latitude,Longitude,Weight,Phi,Landa
Greene1,39.95,-80.05,19.03,0.69725,-1.397170833
Greene2,39.95,-80.08,44.19,0.69727,-1.397700384
Greene3,39.95,-80.09,7.13,0.69732,-1.397886558
Greene4,39.95,-80.10,8.08,0.69732,-1.398039623
Greene5,39.95,-80.12,29.71,0.69722,-1.398367012
Greene6,39.96,-80.09,2.01,0.69745,-1.397913575
Greene7,39.97,-80.08,30.03,0.69767,-1.397622821
Greene8,39.97,-80.11,9.27,0.69757,-1.39819768
Greene9,39.97,-80.12,18.34,0.69759,-1.398326276
Greene10,39.98,-80.07,24.76,0.69775,-1.397480612
Greene11,39.98,-80.09,5.64,0.69776,-1.397902423
Greene12,39.99,-80.11,14.07,0.69793,-1.3981726
Greene13,39.99,-80.12,2.29,0.69787,-1.398321319
Greene14,40.00,-80.06,5.31,0.69808,-1.397312728
Greene15,39.90,-80.07,6.44,0.69632,-1.397476021
Greene16,39.90,-80.10,10.75,0.69631,-1.398021245
Greene17,39.91,-80.04,3.46,0.69654,-1.396879992
Greene18,39.92,-80.02,0.06,0.69671,-1.396564139
Greene19,39.93,-80.03,0.04,0.69698,-1.396779565
Greene20,39.93,-80.01,0.07,0.69686,-1.396427236
Greene21,39.93,-80.02,0.08,0.69689,-1.396621002
Greene22,39.93,-80.00,0.12,0.69697,-1.396333808
Greene23,39.94,-80.03,0.18,0.69717,-1.396804
Greene24,39.96,-80.03,4.63,0.69746,-1.396800038
Greene25,39.95,-80.24,33.25,0.69718,-1.400454129
Greene26,40.00,-80.22,66.17,0.69805,-1.400143321
Greene27,39.95,-80.24,25.75,0.69718,-1.40045015
Greene28,39.99,-80.14,91.06,0.69789,-1.398666528
Greene29,39.99,-80.19,14.71,0.69791,-1.3995168
Greene30,39.90,-80.20,3.71,0.69644,-1.399778442
Greene31,39.92,-80.22,19.34,0.69677,-1.400075934
Greene32,39.90,-80.14,3.29,0.69647,-1.398786746
Greene33,39.90,-80.12,3.80,0.69632,-1.398442585
Greene34,39.91,-80.13,4.07,0.69662,-1.398605249
Greene35,39.84,-80.09,2.02,0.69536,-1.397767299
Greene36,39.86,-79.99,0.15,0.69564,-1.396031901
Greene37,39.86,-80.00,0.04,0.69566,-1.396217552
Greene38,39.86,-80.03,3.63,0.69576,-1.396743751
Greene39,39.86,-80.04,15.57,0.69573,-1.396936959
Greene40,39.86,-80.05,1.25,0.69577,-1.397183574
Greene41,39.87,-79.95,0.02,0.69586,-1.395416271
Greene42,39.87,-79.96,14.80,0.69582,-1.395614523
Greene43,39.87,-79.97,0.37,0.69594,-1.395735038
Greene44,39.87,-79.98,0.17,0.69578,-1.395978093
Greene45,39.87,-79.99,0.07,0.69584,-1.396140356
Greene46,39.87,-80.00,1.37,0.69590,-1.396325623
Greene47,39.87,-80.01,7.95,0.69585,-1.396485268
Greene48,39.87,-80.05,0.01,0.69581,-1.397109921
Greene49,39.87,-80.06,6.22,0.69585,-1.397236964
Greene50,39.88,-79.97,0.16,0.69603,-1.39574078
Greene51,39.88,-79.98,0.09,0.69603,-1.395981339
